2026-04-25 09:31:08 | INFO     | preparation | ======================================================================
2026-04-25 09:31:08 | INFO     | preparation | DATA PREPARATION & EDA - START
2026-04-25 09:31:08 | INFO     | preparation |   Timestamp : 2026-04-25T09:31:08.469867
2026-04-25 09:31:08 | INFO     | preparation |   Raw layer : D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw
2026-04-25 09:31:08 | INFO     | preparation | ======================================================================
2026-04-25 09:31:08 | INFO     | preparation | [1] Loading datasets...
2026-04-25 09:31:08 | INFO     | preparation |   Loading customers from ingested raw layer: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\customers\csv\2026-04-25\olist_customers_dataset.csv
2026-04-25 09:31:08 | INFO     | preparation |     -> 99,441 rows x 5 cols
2026-04-25 09:31:08 | INFO     | preparation |   Loading products from ingested raw layer: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\products\csv\2026-04-25\olist_products_dataset.csv
2026-04-25 09:31:08 | INFO     | preparation |     -> 32,951 rows x 9 cols
2026-04-25 09:31:08 | INFO     | preparation |   Loading orders from ingested raw layer: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\orders\csv\2026-04-25\olist_orders_dataset.csv
2026-04-25 09:31:09 | INFO     | preparation |     -> 99,441 rows x 8 cols
2026-04-25 09:31:09 | INFO     | preparation |   Loading order_items from ingested raw layer: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\order_items\csv\2026-04-25\olist_order_items_dataset.csv
2026-04-25 09:31:09 | INFO     | preparation |     -> 112,650 rows x 7 cols
2026-04-25 09:31:09 | INFO     | preparation |   Loading reviews from ingested raw layer: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\order_reviews\csv\2026-04-25\olist_order_reviews_dataset.csv
2026-04-25 09:31:10 | INFO     | preparation |     -> 99,224 rows x 7 cols
2026-04-25 09:31:10 | INFO     | preparation |   Loading payments from ingested raw layer: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\order_payments\csv\2026-04-25\olist_order_payments_dataset.csv
2026-04-25 09:31:10 | INFO     | preparation |     -> 103,886 rows x 5 cols
